id,routeLength,NOx_abs,NOx/km
0.0,4092.45,314.361911,0.07681508900536355
6.0,3074.16,225.870726,0.07347396557108284
1.0,4526.63,365.321418,0.08070494341264914
2.0,3385.75,299.517095,0.08846403160304216
7.0,4017.61,269.958233,0.06719373781925075
5.0,3794.62,295.551615,0.07788701240176883
9.0,4466.13,293.008729,0.06560685179338711
8.0,3381.68,261.441902,0.07731124825530507
4.0,3824.18,332.822601,0.0870311023539687
3.0,4662.98,351.939261,0.07547518132181567
12.0,3804.04,264.719805,0.06958912235412877
14.0,3227.24,220.572656,0.06834714988659041
17.0,2743.7,206.367662,0.0752150971316106
11.0,3364.2,289.515345,0.08605770911360801
13.0,3530.52,267.378547,0.07573347467228625
15.0,3500.24,250.162439,0.07147008176582177
19.0,4094.75,315.181657,0.07697213676048598
10.0,3917.31,329.671598,0.08415764848837595
18.0,2924.94,246.719824,0.08435038804214787
21.0,3497.81,261.697464,0.07481751839007837
24.0,3641.89,312.166741,0.08571558751088035
28.0,3353.35,244.772825,0.07299352140396917
22.0,4413.69,355.507701,0.08054659502593069
30.0,3285.82,262.912941,0.08001440766688375
31.0,3168.47,255.853586,0.08074988432902948
32.0,2752.44,236.617994,0.08596663106189417
26.0,3890.5,300.413401,0.07721717028659555
27.0,4507.29,365.25972,0.08103754584240198
25.0,4357.0,334.819398,0.07684631581363323
34.0,3573.53,239.743568,0.06708872403477793
39.0,2780.91,210.96329,0.07586124326209766
36.0,3170.74,233.687939,0.07370138800406215
42.0,3123.71,226.722918,0.07258129531870756
37.0,3811.83,305.689622,0.08019497774035043
44.0,4108.05,285.389976,0.06947091101617556
46.0,2772.79,230.390458,0.08308976085459051
41.0,3531.33,328.575832,0.09304591527837953
38.0,4467.78,381.964508,0.08549313260724567
49.0,2673.66,242.652394,0.0907566384656239
51.0,2593.2,214.004664,0.08252532161036558
45.0,3679.63,293.872057,0.07986456708962585
50.0,3689.77,285.763758,0.07744758020147598
43.0,4070.02,348.001055,0.08550352455270491
52.0,3896.1,280.609687,0.0720232250198917
47.0,4818.98,345.656539,0.0717281538831869
53.0,4182.78,297.001321,0.07100572370528692
56.0,3371.87,231.97171,0.06879616058744852
55.0,3695.99,277.946711,0.07520223566622204
54.0,3276.71,304.978209,0.0930745195638308
57.0,3849.18,298.867201,0.07764438166050952
61.0,2838.38,207.493048,0.07310263178291841
58.0,3718.99,260.586165,0.07006906848364744
59.0,3377.14,265.17345,0.07852012353648354
62.0,4169.3,299.044047,0.07172524092773366
63.0,2609.25,225.808046,0.08654136092746957
64.0,4655.57,307.016874,0.06594614064443237
66.0,3485.71,239.043215,0.06857805583367521
65.0,4562.12,306.838395,0.06725785270882835
60.0,4037.42,368.71142,0.0913235234382353
67.0,3849.69,265.979996,0.06909127644044066
72.0,3718.03,259.315813,0.06974548699176714
68.0,3908.14,271.673895,0.06951488303899042
69.0,4314.05,295.468701,0.06848986474426583
71.0,4173.48,344.852044,0.08262937500599021
78.0,2799.71,222.455327,0.07945656050090903
79.0,3223.0,228.8177,0.0709952528699969
76.0,3489.21,276.137155,0.07914030826462151
83.0,3193.78,224.893352,0.07041604368491254
77.0,3616.77,286.070081,0.07909545837860854
80.0,3702.88,281.211417,0.07594397252949055
81.0,2698.05,252.903686,0.09373572987898666
74.0,4185.18,355.737687,0.08499937565409373
84.0,3342.65,231.891613,0.06937358473067776
92.0,2315.39,171.636539,0.07412856538207387
90.0,2135.91,181.618179,0.08503082011882523
86.0,3382.28,249.789566,0.0738524208522062
88.0,2968.67,220.50475,0.07427728578791176
82.0,3841.59,319.452162,0.08315623530881744
94.0,2575.91,202.549726,0.07863229926511407
96.0,2696.72,215.92164,0.08006824586905574
93.0,3402.94,269.220603,0.07911411984930677
89.0,4424.34,349.778092,0.07905768815235718
97.0,3005.05,259.398156,0.08632074541188997
98.0,3918.99,253.529736,0.06469262131314446
100.0,3309.24,238.273218,0.07200239873807884
99.0,3748.46,258.743868,0.0690267117696334
104.0,2446.98,202.86416,0.08290388969260068
103.0,4004.59,286.398411,0.07151753637700739
106.0,3989.44,289.82648,0.07264841180717094
105.0,4447.96,299.199089,0.06726658715456074
102.0,4600.09,339.797527,0.07386758237338835
108.0,3842.74,266.371526,0.06931812352644208
