id,routeLength,NOx_abs,NOx/km
0.2,2548.65,132.349611,0.05192930021776235
0.3,2605.89,136.86131,0.05251998741312949
0.5,2548.65,125.333881,0.049176576226629784
0.0,2952.24,174.188019,0.0590019845947484
0.7,2567.81,156.825449,0.061073618764628225
0.4,2761.29,201.928042,0.07312815459441059
0.12,2605.89,135.602891,0.0520370740898503
0.1,2548.65,138.37458,0.05429328468012477
0.16,2548.65,130.298816,0.051124640888313415
0.8,2761.29,175.570239,0.06358268743956628
0.15,2568.73,150.720348,0.05867504486652937
0.1,5193.54,353.722942,0.06810825410028612
0.2,2548.65,149.068237,0.058489096972907224
0.11,3695.69,237.554997,0.06427892950978031
0.14,2761.29,171.061612,0.06194989008760398
0.13,2771.05,203.533023,0.07344978365601486
0.18,3177.55,193.664898,0.0609478680115183
0.22,3177.55,163.411852,0.05142699627071171
0.21,2761.29,203.040644,0.07353108293587417
0.27,3177.55,169.271004,0.05327091753080203
0.19,3695.69,223.846015,0.060569478230046346
1.2,2548.65,149.184437,0.058534689737704274
0.23,2846.12,178.683943,0.06278159142973593
1.3,3177.55,180.221695,0.05671718619691272
1.1,2567.81,164.767569,0.06416657346143212
0.24,4209.39,316.521259,0.07519409201808337
1.7,2548.65,125.214138,0.04912959331410747
1.0,2761.29,184.452689,0.06679946293218025
1.1,2518.53,123.406125,0.04899926742981024
1.9,3177.55,175.830092,0.05533511416028072
1.5,2737.19,202.607915,0.07402040596378037
0.25,4126.38,272.287929,0.06598711921829788
1.11,2518.53,136.301729,0.05411955744025284
1.12,2771.05,187.458187,0.0676487926959095
1.14,2568.73,171.251462,0.06666775488276308
1.8,3695.69,245.378514,0.06639585950120275
1.4,5203.62,334.265233,0.0642370567028338
1.15,2567.81,176.232463,0.06863142639058185
0.9,5934.17,563.099877,0.0948910929413886
1.6,4209.39,338.254943,0.08035723537139586
0.6,5934.17,519.595726,0.0875599664316998
0.26,4720.95,390.028147,0.08261645367987376
1.13,4209.39,271.58078,0.0645178470039602
0.17,4720.95,443.481978,0.09393913894449211
1.16,2737.19,201.878,0.07375374014956944
1.18,2567.81,167.762156,0.0653327761789229
1.2,3242.47,164.1209,0.05061601186749608
1.17,2761.29,194.595768,0.07047277468139891
2.6,2605.89,122.253295,0.046914219326218684
2.5,3182.74,174.16282,0.054721032820777074
1.19,4126.38,262.731285,0.06367113183953005
2.1,2846.12,205.896648,0.07234292580776637
2.2,3695.69,216.681699,0.05863091844824647
2.3,4209.39,274.057628,0.06510625720116216
1.21,3695.69,250.067233,0.06766455871569314
2.7,2761.29,215.847481,0.07816907351274223
2.8,2737.19,182.922008,0.0668283926216302
2.0,5192.53,357.788474,0.06890445967572648
2.4,4209.39,289.330661,0.06873458173274512
2.13,2548.65,144.562486,0.05672119985090146
2.1,2737.19,193.934875,0.07085181335603301
2.12,2737.19,187.023612,0.06832686514271936
2.14,3177.55,167.157243,0.05260570030369309
2.11,3695.69,241.827358,0.06543496830091268
2.9,4209.39,265.175834,0.06299626169112389
3.1,2548.65,145.891614,0.05724270260726267
2.15,2761.29,187.176051,0.06778572732309898
3.5,3177.55,172.39642,0.05425451055058142
3.4,3182.74,166.196595,0.05221808724558086
3.6,2548.65,143.531654,0.05631673788083887
3.2,2737.19,193.651925,0.07074844091933699
3.1,2548.65,150.066794,0.05888089537598336
3.0,4209.39,266.218789,0.06324403037019616
3.11,2548.65,138.663916,0.05440680987974025
3.8,2567.81,153.588964,0.059813212036716114
3.7,2761.29,187.738833,0.06798953858522647
3.13,3177.55,155.986627,0.049090219508741005
