id,routeLength,NOx_abs,NOx/km
0.0,4093.46,322.827215,0.07886414304769071
6.0,3074.16,227.92953,0.07414367827308924
1.0,4821.68,378.129829,0.07842283789052777
2.0,3385.75,308.328136,0.09106642132466956
7.0,4017.61,271.380996,0.0675478695045064
5.0,3794.62,297.655246,0.07844138438104474
9.0,4742.33,284.089039,0.05990494946576894
11.0,3364.2,259.038973,0.07699868408536949
8.0,3657.88,272.710669,0.0745542962043588
4.0,3824.18,332.944248,0.087062912310613
3.0,4662.98,352.709584,0.07564038104388182
12.0,3804.04,258.647194,0.06799276400879066
14.0,3227.24,217.279253,0.06732664846742109
17.0,2743.7,206.278257,0.07518251157196487
15.0,3776.44,239.210823,0.06334294282445901
13.0,3530.52,268.492226,0.07604891800641266
10.0,3975.27,308.265258,0.07754574104400457
19.0,4094.75,320.76712,0.07833619146468038
18.0,2924.94,247.978067,0.08478056541330763
21.0,3497.81,254.605649,0.07279001689628653
22.0,4622.77,336.179989,0.07272262928936546
24.0,3641.89,317.188066,0.08709435650170654
28.0,3353.35,251.012117,0.0748541360132405
30.0,3285.82,251.916621,0.07666780925309359
27.0,4713.27,347.129838,0.07364947011310619
32.0,2752.44,238.362667,0.08660049519698884
25.0,4556.46,309.387278,0.06790079974366064
31.0,3168.47,248.709787,0.07849523176801422
26.0,3890.5,298.293539,0.07667228865184424
34.0,3573.53,238.695378,0.06679540342462495
39.0,2780.91,222.198368,0.07990131575635313
36.0,3170.74,234.267856,0.07388428442571766
42.0,3123.71,229.176818,0.0733668676029465
37.0,4020.91,320.816531,0.07978704596720643
41.0,3737.31,300.985783,0.08053540728491884
44.0,4108.05,279.062447,0.06793063545964631
45.0,3737.59,250.705016,0.06707664992682451
46.0,2772.79,231.383376,0.08344785432722998
38.0,4467.78,388.344681,0.08692117360299746
49.0,2673.66,234.834683,0.08783266496113942
51.0,2592.19,203.672354,0.07857153758019281
50.0,3689.77,255.526642,0.06925272903189088
43.0,4070.02,350.932822,0.08622385688522415
52.0,3896.1,281.518041,0.07225636944636944
53.0,4182.78,303.432955,0.07254336948154098
55.0,3998.47,248.089143,0.06204601835201965
47.0,5114.03,375.084161,0.07334414561510198
56.0,3371.87,243.264886,0.07214539291253814
54.0,3276.71,299.13762,0.09129206429619954
57.0,3849.18,303.685035,0.0788960337006843
61.0,2838.38,210.758331,0.0742530355343541
58.0,3718.99,261.32109,0.0702666826208191
59.0,3377.14,262.701522,0.07778816454159437
62.0,4169.3,305.960775,0.07338420718106158
63.0,2609.25,219.872544,0.08426656855418224
64.0,4655.57,310.263286,0.0666434584809164
66.0,3485.71,239.136409,0.0686047918501539
60.0,4037.42,365.778304,0.09059704068439746
65.0,4768.1,347.629112,0.07290726117321365
72.0,3718.03,257.663674,0.06930112828567817
67.0,3849.69,273.590272,0.07106813068065221
68.0,4184.34,286.461655,0.06846041550160838
78.0,2799.71,206.409364,0.07372526583110393
71.0,4173.48,349.79694,0.08381421259955721
69.0,4609.1,339.133428,0.0735790996072986
77.0,3674.73,236.014047,0.06422622804940771
79.0,3223.0,229.244614,0.0711277114489606
76.0,3489.21,272.59159,0.07812415704414466
83.0,3193.78,219.429802,0.06870535916688061
80.0,3702.88,279.364378,0.07544516106382058
81.0,2698.05,255.254872,0.09460716888122903
74.0,4185.18,366.575634,0.08758897681820135
84.0,3342.65,236.673245,0.07080407610728015
90.0,2135.91,175.294501,0.08207017196417453
86.0,3382.28,254.972615,0.07538483360336813
