id,routeLength,NOx_abs,NOx/km
0.2,2548.65,132.349611,0.05192930021776235
0.3,2605.89,136.888394,0.052530380791207615
0.5,2548.65,125.400979,0.049202903105565694
0.0,2914.73,161.332891,0.05535088704614149
0.1,2942.06,171.332733,0.05823563523517535
0.7,2570.42,153.226277,0.05961137751807098
0.12,2605.89,133.754321,0.05132769265011187
0.1,2548.65,139.357492,0.05467894453926589
0.4,2829.49,220.799193,0.07803497909517264
0.16,2548.65,127.157718,0.04989218527455712
0.8,2829.49,191.961124,0.06784301199156033
0.13,2771.05,178.622253,0.06446013352339365
0.6,3073.87,223.009359,0.07255002944171354
0.9,3073.87,235.663728,0.07666678421663896
0.15,2635.41,155.179197,0.058882373900076265
0.11,3689.68,241.255767,0.06538663705253572
0.2,2548.65,137.36435,0.05389690620524591
0.18,3177.55,188.873099,0.05943985114317634
0.14,2829.49,220.77105,0.0780250327797589
0.19,3186.26,179.486337,0.05633135305970008
0.22,3177.55,158.621042,0.049919290648455565
0.24,3261.1,220.551423,0.06763099046334059
0.21,2829.49,216.863708,0.07664409769958544
0.27,3177.55,172.269725,0.05421463863668549
0.23,2892.12,181.205601,0.06265493859175968
1.2,2548.65,145.62251,0.057137115727934396
0.17,3047.04,251.233779,0.08245174956679269
0.25,3572.92,200.594344,0.05614297101530401
1.3,3177.55,181.910666,0.057248718666897444
0.26,3047.04,219.642643,0.0720839381826297
1.1,2634.18,171.482802,0.06509912078901214
1.7,2548.65,122.504723,0.048066514821572204
1.0,2829.49,197.964689,0.06996479542249663
1.6,3261.1,202.250707,0.06201916745883291
1.1,2518.53,127.736096,0.05071851278325054
1.9,3177.55,168.822169,0.053129665622885555
1.5,2737.19,201.287579,0.07353803681878131
1.8,3186.26,191.402423,0.06007118785033236
1.11,2518.53,138.982307,0.05518389973516297
1.4,4199.17,280.407878,0.06677697687876413
1.12,2771.05,185.098965,0.06679741072878512
1.14,2635.41,175.931207,0.06675667429356344
1.13,3776.67,248.14374,0.06570437448863682
1.15,2634.18,177.078343,0.06722332680378713
1.16,2737.19,202.296437,0.0739066111596199
1.18,2634.18,171.544821,0.0651226647381728
1.2,3242.47,163.866253,0.05053747698513788
1.17,2829.49,209.791188,0.07414452357138566
1.19,3527.92,196.789359,0.05578056163405065
1.21,3186.26,192.203217,0.06032251511176112
2.0,2942.06,176.099694,0.059855915243060984
2.6,2605.89,125.316288,0.048089630797923166
2.5,3182.74,170.443164,0.05355233666589165
2.2,3689.68,219.361848,0.05945281108388804
2.3,3776.67,262.349474,0.06946581882981567
2.1,2892.12,197.224897,0.06819388441696748
2.4,2943.22,186.448869,0.06334860085212794
2.7,2829.49,226.887831,0.08018682907520437
2.9,3261.1,189.352504,0.058063998037472024
2.8,2737.19,184.368478,0.06735684333203029
2.13,2548.65,149.638361,0.05871279343966414
2.1,2737.19,192.061806,0.07016750974539582
2.12,2737.19,189.096265,0.069084084407732
2.11,3689.68,237.956517,0.0644924538171332
2.14,3177.55,162.93746,0.05127770137369986
3.1,2548.65,143.20581,0.056188888234947915
3.0,3261.1,187.955239,0.057635533715617436
3.5,3177.55,169.569559,0.053364875139651616
3.4,3182.74,165.918189,0.05213061355938595
3.6,2548.65,146.949186,0.05765765640633276
2.15,2829.49,223.318977,0.0789255226206843
3.2,2737.19,202.649737,0.07403568513694701
3.1,2548.65,145.572655,0.05711755439154061
3.11,2548.65,143.825841,0.05643216644105703
3.8,2634.18,153.565355,0.05829721393374789
3.7,2829.49,200.572054,0.07088629187592112
3.13,3177.55,157.104851,0.04944213340466711
3.9,2737.19,165.951159,0.06062829361498471
3.3,3427.31,240.774684,0.07025179630672453
3.14,3177.55,171.292605,0.05390713128038898
3.15,2634.18,171.769012,0.06520777319697212
3.12,2942.06,162.21123,0.05513525556922701
3.19,3177.55,163.003628,0.05129852496420197
3.16,3186.26,201.998078,0.06339660856301745
3.18,2892.12,172.582397,0.059673318188733525
3.17,2751.61,185.679383,0.0674802690061455
3.24,3177.55,167.619792,0.052751268115371897
3.21,3001.64,178.094812,0.05933250223211311
4.1,2548.65,142.498137,0.05591122241186511
3.23,2771.05,191.939217,0.06926588008155753
3.2,2829.49,211.957557,0.07491016296222995
4.2,3177.55,149.51943,0.04705494170036663
4.0,2943.22,189.817262,0.0644930593023967
3.22,2829.49,229.885924,0.08124641684543858
4.3,3242.47,183.137819,0.05648096019392624
4.7,2605.89,137.372695,0.05271622938804017
4.6,3261.1,197.471576,0.06055367084726013
4.5,2892.12,183.557195,0.0634680424740329
4.1,2605.89,150.213837,0.057643966936440146
4.4,3047.04,230.818226,0.0757516232146608
4.8,2751.61,186.338924,0.06771996176783773
4.9,2942.06,180.417084,0.06132338701454083
4.14,3177.55,163.205401,0.05136202451574326
4.11,3047.04,218.414906,0.07168101042323041
4.13,3261.1,218.115319,0.06688397135935728
4.12,2829.49,230.929138,0.0816151101435241
4.16,3177.55,187.851017,0.0591181938915202
4.15,2751.61,184.568263,0.06707646178055757
5.0,3186.26,173.97657,0.054602126003527644
5.2,2605.89,145.590559,0.0558698022556593
5.1,3242.47,169.826015,0.052375508485814834
5.5,3177.55,172.756961,0.054367975641610666
5.3,3689.68,214.387781,0.058104708538409836
5.4,3001.64,187.765003,0.06255413807118776
5.7,2518.53,143.972512,0.05716529562879933
5.6,2942.06,173.603665,0.05900752024091963
5.9,2518.53,134.344691,0.053342501776830135
5.8,2942.06,168.452938,0.05725679897758713
6.1,3177.55,174.02313,0.05476644899372158
6.0,3047.04,230.758926,0.07573216170447385
6.2,2605.89,142.850045,0.054818140827126244
6.3,2548.65,131.651521,0.05165539442449924
6.4,3177.55,152.701267,0.04805629085301569
7.0,3689.68,215.409395,0.058381592712647166
7.1,2943.22,173.216883,0.05885284926033392
7.2,3314.44,228.453969,0.06892686818889465
7.3,2737.19,185.197029,0.06765954464249832
8.1,3177.55,185.612053,0.05841357429466098
8.0,2962.07,169.959997,0.05737879152079457
8.5,3177.55,156.60678,0.04928538653994429
8.6,3177.55,176.058991,0.05540715047756919
8.3,2751.61,188.630485,0.06855276910608697
8.2,3689.68,214.218786,0.058058906463433146
8.4,2829.49,212.49015,0.0750983922897766
8.1,3242.47,162.720394,0.050184086205886255
8.7,3696.79,231.837608,0.06271322092950911
8.9,2829.49,198.845715,0.07027616814337567
8.8,2829.49,233.700753,0.08259465592739328
8.12,3186.26,192.90293,0.060542118345646614
8.14,3261.1,205.008061,0.06286469626813039
9.0,2548.65,152.278335,0.05974862574304043
8.13,3527.92,218.321608,0.06188394521417719
8.11,3164.28,216.935602,0.06855765039756279
8.15,2829.49,213.843779,0.07557679263754247
9.3,2605.89,116.865259,0.044846581782039915
9.1,3427.31,229.775927,0.0670426448147381
9.2,3047.04,245.54802,0.08058575535601764
9.4,2962.07,171.013368,0.05773441140823816
9.5,2737.19,197.995032,0.07233514370577125
9.6,3177.55,181.919263,0.057251424210476624
10.1,2605.89,148.671047,0.057051927364547235
10.0,3572.92,216.113943,0.06048664481712437
10.2,3177.55,181.382316,0.0570824427625057
10.3,2548.65,128.112951,0.05026698487434524
10.4,3186.26,186.801028,0.058627051150879086
11.0,2548.65,154.713075,0.06070393149314343
10.5,2914.73,180.210332,0.0618274529716303
11.1,2605.89,141.924214,0.05446285683586031
11.4,2518.53,129.894727,0.051575612361178934
11.2,2962.07,171.779299,0.057992991050177745
11.3,2751.61,179.443537,0.06521401543096586
11.7,3177.55,163.91448,0.051585177259209136
11.5,3429.15,191.656737,0.05589045011154367
11.6,3001.64,163.048559,0.054319824829093435
11.9,2605.89,124.131873,0.04763511621749191
11.12,2605.89,132.814658,0.05096710068345173
11.1,3776.67,247.198614,0.06545412069362692
11.8,3427.31,212.328329,0.06195188909086135
12.0,3177.55,160.236393,0.05042765432487293
11.11,3572.92,200.24584,0.05604543062816967
12.1,2634.18,167.275426,0.06350189660539524
11.13,2986.22,221.967005,0.07433042609050908
12.4,3177.55,175.183811,0.055131724441786906
12.2,2737.19,211.535281,0.07728191356829449
12.3,2751.61,188.346339,0.06844950374508015
12.5,2942.06,157.828911,0.053645714567343974
12.7,3177.55,192.597233,0.06061186543091375
12.6,2771.05,173.075029,0.06245828440482849
12.8,3527.92,200.67248,0.05688124447266378
13.0,2518.53,148.922921,0.05913089024152978
12.9,2737.19,192.894655,0.07047178127934121
12.1,2829.49,208.341593,0.07363220686413453
13.2,2518.53,146.474622,0.05815877595263904
13.1,3001.64,205.085864,0.06832460388321052
13.3,3242.47,157.473003,0.04856575481037605
13.4,2570.42,158.027752,0.06147935045634565
13.5,2635.41,151.386331,0.05744317999855811
14.0,2634.18,160.07582,0.06076874776970442
14.2,3177.55,172.340282,0.054236843480039654
14.1,2962.07,165.581886,0.05590073360859128
14.3,2634.18,155.284435,0.058949819298605266
15.0,2605.89,146.680126,0.0562879192905303
14.4,2986.22,243.777589,0.08163416928424565
15.1,2737.19,175.945935,0.06427976684117653
15.2,2634.18,169.087655,0.06418986363877945
15.3,3776.67,222.96056,0.05903628328659904
15.4,2570.42,150.952647,0.05872684113880222
15.5,2914.73,162.782907,0.05584836571483465
15.6,2829.49,195.010244,0.06892063375378603
16.0,3572.92,217.526319,0.06088194501975975
16.1,3177.55,173.561232,0.054621086056867704
16.2,2548.65,147.930718,0.05804277480234634
17.1,2548.65,148.444761,0.058244467070802185
17.0,2829.49,222.38078,0.07859394449176353
17.5,2518.53,137.96151,0.05477858512703839
17.3,3073.87,225.492888,0.07335797805372381
17.4,3186.26,188.835614,0.05926560104950631
17.2,4440.18,277.845031,0.06257517285335279
18.0,2605.89,136.158478,0.052250278407760885
18.1,2548.65,135.067493,0.052995700861240266
18.3,2548.65,142.515441,0.05591801188864693
18.2,2829.49,220.982304,0.07809969429119736
18.4,2771.05,175.926913,0.06348745529672868
18.5,3001.64,219.365828,0.07308199117815595
18.6,3073.87,240.035764,0.07808910721663571
18.7,2892.12,196.824613,0.06805547937153368
18.8,2737.19,193.745073,0.07078247143968815
19.1,3177.55,182.597292,0.05746480527450394
19.2,2518.53,134.440998,0.053380741146621245
19.0,3236.85,220.7257,0.06819151335403247
19.4,2548.65,141.616789,0.05556541266945246
19.3,2829.49,239.925161,0.08479448981972017
19.6,2571.34,142.790489,0.05553154736440922
19.5,2829.49,213.600864,0.07549094147708599
20.0,2829.49,204.938667,0.07242954277979424
20.1,3261.1,200.710488,0.06154686700806476
20.2,2962.07,167.184037,0.05644162258150549
20.3,2571.34,166.721902,0.0648385285493167
21.1,2635.41,157.460886,0.059748155315491706
21.0,2962.07,176.346359,0.05953483847444523
21.2,2737.19,213.667684,0.07806096178928025
21.3,3177.55,165.902342,0.05221077307988859
21.4,2634.18,173.395766,0.06582532932449568
21.6,3177.55,172.564027,0.05430725779295369
21.5,2751.61,181.457353,0.06594588368264398
22.2,3177.55,173.143684,0.05448968041415556
22.0,4440.18,296.503502,0.0667773608277142
22.1,2986.22,227.923695,0.07632515186422971
22.3,3776.67,240.491393,0.06367815906605555
22.4,3177.55,158.825473,0.04998362669352173
23.0,2548.65,154.975421,0.060806866772605106
23.1,2690.97,154.6716,0.05747800978829196
23.3,2548.65,126.114889,0.04948301610656622
23.4,2548.65,141.08925,0.055358425048555114
23.2,2829.49,204.006896,0.0721002357315276
23.5,2548.65,139.684007,0.0548070574617935
23.6,2962.07,182.359345,0.06156483303905714
23.7,2634.18,177.575825,0.06741218329802824
24.0,3177.55,167.350738,0.052666594703466504
24.1,3177.55,191.215697,0.060177085175685666
24.2,2548.65,135.117148,0.053015183724717
